word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,key_instruct.started,instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,fixation.started,fixationCross.started,fixation.stopped,trial.started,Stimulus.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,fixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
green,blue,0,b,2,10,42,15,91.10229830001481,,,,,,,,91.08702580002137,91.10229830001481,92.28726409992669,92.28729839995503,92.30177869996987,92.80198270000983,92.92249589995481,b,1,0.11712800001259893,None,92.30177869996987,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
blue,blue,1,b,2,11,43,2,92.93511319998652,,,,,,,,92.92383729992434,92.93511319998652,94.1201335999649,94.12016789999325,94.1347421000246,94.63484099996276,94.75390639994293,b,1,0.10175979998894036,None,94.1347421000246,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
green,yellow,0,y,2,12,44,11,94.76816229999531,,,,,,,,94.75533369998448,94.76816229999531,95.95329299999867,95.95332450000569,95.96794719994068,96.4680358999176,96.85247129993513,y,1,0.37608700001146644,None,95.96794719994068,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
yellow,blue,0,b,2,13,45,5,96.86813429999165,,,,,,,,96.8546359000029,96.86813429999165,98.05311510001775,98.05314560001716,98.06766639999114,98.56787559995428,98.66883570002392,b,1,0.09543470002245158,None,98.06766639999114,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
yellow,yellow,1,y,2,14,46,1,98.68434879998676,,,,,,,,98.66994779999368,98.68434879998676,99.86972099996638,99.86975720000919,99.88444239995442,100.38441729999613,100.75267560000066,y,1,0.35363620007410645,None,99.88444239995442,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
yellow,green,0,g,2,15,47,9,100.767522500013,,,,,,,,100.75375029991847,100.767522500013,101.95263630000409,101.95266479998827,101.96732980001252,102.46730050002225,102.58554839994758,g,1,0.1078378000529483,None,101.96732980001252,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
blue,yellow,0,y,3,0,48,14,102.60070019995328,,,,,,,,102.58663339994382,102.60070019995328,103.78467089997139,103.78469579992816,103.80025359999854,104.30061339994427,104.85472529998515,y,1,0.5506088000256568,None,103.80025359999854,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
blue,blue,1,b,3,1,49,2,104.86694320000242,,,,,,,,104.85631119995378,104.86694320000242,106.05165609996766,106.05168809997849,106.066802599933,106.56682950002141,106.75133030000143,b,1,0.17513780004810542,None,106.066802599933,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
green,red,0,r,3,2,50,7,106.76685150002595,,,,,,,,106.75238309998531,106.76685150002595,107.95135390001815,107.95139049994759,107.9664419000037,108.4665538999252,109.13500899996143,r,1,0.6549409999279305,None,107.9664419000037,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
green,blue,0,b,3,3,51,15,109.14969489991199,,,,,,,,109.13622049998958,109.14969489991199,110.33422329998575,110.33426059992053,110.34963850001805,110.85004849999677,111.0365099000046,b,1,0.1723911000881344,None,110.34963850001805,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
red,green,0,g,3,4,52,12,111.04903759993613,,,,,,,,111.03762369998731,111.04903759993613,112.23490729997866,112.23494270001538,112.24927949998528,112.74952559999656,112.96916769992094,g,1,0.2169496000278741,None,112.24927949998528,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
